"date","state","percent_positive","unweighted_ili","ILIp"
2019-11-10,"TX",17.14,4.78979,0.00820970006
2019-11-10,"UT",2.8,2.2681,0.000635068
2019-11-10,"VT",0.93,1.12664,0.00010477752
2019-11-10,"VA",0.25,2.55936,6.3984e-05
2019-11-10,"WA",4.69,1.78561,0.00083745109
2019-11-10,"WV",0,1.3422,0
2019-11-10,"WI",1.89,1.40298,0.00026516322
2019-11-10,"WY",10,1.14674,0.00114674
2019-11-17,"AL",9.79,4.66176,0.00456386304
2019-11-17,"AK",27.27,2.01203,0.00548680581
2019-11-17,"AZ",8.35,2.71652,0.0022682942
2019-11-17,"AR",4.46,3.12874,0.00139541804
2019-11-17,"CA",13.94,2.39551,0.00333934094
2019-11-17,"CO",7.79,3.22949,0.00251577271
2019-11-17,"CT",1,2.45252,0.000245252
2019-11-17,"DE",5.99,0.142959,8.5632441e-05
2019-11-17,"FL",NA,NA,NA
2019-11-17,"GA",15.51,5.21978,0.00809587878
2019-11-17,"HI",3.4,2.74198,0.0009322732
2019-11-17,"ID",4.88,1.20482,0.00058795216
2019-11-17,"IL",4.76,2.11537,0.00100691612
2019-11-17,"IN",3.56,1.41648,0.00050426688
2019-11-17,"IA",1.37,0.918422,0.000125823814
2019-11-17,"KS",0.88,1.42391,0.00012530408
2019-11-17,"KY",4.49,2.77164,0.00124446636
2019-11-17,"LA",26.33,11.6895,0.0307784535
2019-11-17,"ME",0,1.22556,0
2019-11-17,"MD",2.68,2.19271,0.00058764628
2019-11-17,"MA",2.13,1.4374,0.0003061662
2019-11-17,"MI",3.48,1.23582,0.00043006536
2019-11-17,"MN",1.92,2.72668,0.00052352256
2019-11-17,"MS",4.85,6.063,0.002940555
2019-11-17,"MO",2.4,1.23077,0.0002953848
2019-11-17,"MT",0.76,1.18399,8.998324e-05
2019-11-17,"NE",26.06,3.49316,0.00910317496
2019-11-17,"NV",39.8,3.00172,0.0119468456
2019-11-17,"NH",NA,0.613228,NA
2019-11-17,"NJ",NA,2.93343,NA
2019-11-17,"NM",6.38,3.12916,0.00199640408
2019-11-17,"NY",3.27,1.44615,0.00047289105
2019-11-17,"NC",4.49,1.67733,0.00075312117
2019-11-17,"ND",18.57,1.89717,0.00352304469
2019-11-17,"OH",2.46,1.0583,0.0002603418
2019-11-17,"OK",2.26,2.9695,0.000671107
2019-11-17,"OR",10.04,1.8385,0.001845854
2019-11-17,"PA",0.7,1.6982,0.000118874
2019-11-17,"RI",NA,0.494382,NA
2019-11-17,"SC",2.66,3.97771,0.00105807086
2019-11-17,"SD",0,1.65146,0
2019-11-17,"TN",11.25,3.82892,0.004307535
2019-11-17,"TX",22.56,6.49962,0.01466314272
2019-11-17,"UT",5.14,2.50505,0.0012875957
2019-11-17,"VT",1.61,0.872211,0.000140425971
2019-11-17,"VA",0.73,2.88598,0.00021067654
2019-11-17,"WA",5.61,2.69907,0.00151417827
2019-11-17,"WV",0.18,1.24365,2.23857e-05
2019-11-17,"WI",4.79,1.57279,0.00075336641
2019-11-17,"WY",NA,1.18539,NA
2019-11-24,"AL",12.01,4.70394,0.00564943194
2019-11-24,"AK",6.25,2.24646,0.0014040375
2019-11-24,"AZ",13.77,2.86129,0.00393999633
2019-11-24,"AR",5.22,3.65809,0.00190952298
2019-11-24,"CA",16.57,2.74306,0.00454525042
2019-11-24,"CO",13.7,3.47627,0.0047624899
2019-11-24,"CT",2.96,2.61969,0.00077542824
2019-11-24,"DE",3.43,0.614125,0.000210644875
2019-11-24,"FL",NA,NA,NA
2019-11-24,"GA",18.26,5.70542,0.01041809692
2019-11-24,"HI",5.45,3.649,0.001988705
2019-11-24,"ID",13.33,1.17532,0.00156670156
2019-11-24,"IL",4.1,2.55489,0.0010475049
2019-11-24,"IN",6.37,2.14118,0.00136393166
2019-11-24,"IA",0.47,1.51327,7.112369e-05
2019-11-24,"KS",2.3,1.81893,0.0004183539
2019-11-24,"KY",5.98,3.04802,0.00182271596
2019-11-24,"LA",23.46,10.7286,0.0251692956
2019-11-24,"ME",0,1.19228,0
2019-11-24,"MD",6.37,2.8248,0.0017993976
2019-11-24,"MA",5.39,1.91389,0.00103158671
2019-11-24,"MI",6.85,1.21021,0.00082899385
2019-11-24,"MN",5.31,4.05946,0.00215557326
2019-11-24,"MS",10.38,7.3034,0.0075809292
2019-11-24,"MO",3.96,0.695652,0.000275478192
2019-11-24,"MT",6.5,1.42826,0.000928369
2019-11-24,"NE",20.61,5.18686,0.01069011846
2019-11-24,"NV",NA,3.63079,NA
2019-11-24,"NH",NA,0.677966,NA
2019-11-24,"NJ",NA,3.9026,NA
2019-11-24,"NM",9.67,3.35036,0.00323979812
2019-11-24,"NY",5.54,1.95974,0.00108569596
2019-11-24,"NC",6.89,1.85556,0.00127848084
2019-11-24,"ND",21.69,2.97824,0.00645980256
2019-11-24,"OH",3.64,1.0144,0.0003692416
2019-11-24,"OK",3.83,3.80488,0.00145726904
2019-11-24,"OR",15.82,2.07423,0.00328143186
2019-11-24,"PA",2.08,1.7945,0.000373256
2019-11-24,"RI",NA,0.684095,NA
2019-11-24,"SC",4.5,4.59937,0.0020697165
2019-11-24,"SD",1.67,1.55816,0.00026021272
2019-11-24,"TN",13.76,5.24653,0.00721922528
2019-11-24,"TX",22.06,7.33775,0.0161870765
2019-11-24,"UT",8.37,3.8,0.0031806
2019-11-24,"VT",3.1,1.37931,0.0004275861
2019-11-24,"VA",5.8,3.41112,0.0019784496
2019-11-24,"WA",8.71,3.56457,0.00310474047
2019-11-24,"WV",0.78,1.21075,9.44385e-05
2019-11-24,"WI",5.49,1.75611,0.00096410439
2019-11-24,"WY",NA,0.951132,NA
2019-12-01,"AL",10.62,5.05257,0.00536582934
2019-12-01,"AK",5.26,2.44837,0.00128784262
2019-12-01,"AZ",12.55,3.03117,0.00380411835
2019-12-01,"AR",8.76,3.39666,0.00297547416
2019-12-01,"CA",17.98,2.75482,0.00495316636
2019-12-01,"CO",14.32,4.03004,0.00577101728
2019-12-01,"CT",3.62,2.60224,0.00094201088
2019-12-01,"DE",12.15,0.353607,0.000429632505
2019-12-01,"FL",NA,NA,NA
2019-12-01,"GA",14.5,5.14094,0.007454363
2019-12-01,"HI",9.19,2.88298,0.00264945862
2019-12-01,"ID",15.63,1.11257,0.00173894691
2019-12-01,"IL",5.26,2.59479,0.00136485954
2019-12-01,"IN",3.57,2.41353,0.00086163021
2019-12-01,"IA",4,1.12523,0.000450092
2019-12-01,"KS",3.88,2.21101,0.00085787188
2019-12-01,"KY",7.24,3.62949,0.00262775076
2019-12-01,"LA",16.91,8.63841,0.01460755131
2019-12-01,"ME",1.47,1.54994,0.00022784118
2019-12-01,"MD",10.31,2.76588,0.00285162228
2019-12-01,"MA",6.48,1.88156,0.00121925088
2019-12-01,"MI",9.36,1.45859,0.00136524024
2019-12-01,"MN",5.62,3.52987,0.00198378694
2019-12-01,"MS",7.8,5.20234,0.0040578252
2019-12-01,"MO",6.3,1.10531,0.0006963453
2019-12-01,"MT",6.16,1.21029,0.00074553864
2019-12-01,"NE",17.1,4.84591,0.0082865061
2019-12-01,"NV",NA,2.78099,NA
2019-12-01,"NH",NA,0.645161,NA
2019-12-01,"NJ",NA,3.79468,NA
2019-12-01,"NM",12.5,3.87798,0.004847475
2019-12-01,"NY",7.19,1.94126,0.00139576594
2019-12-01,"NC",10.79,2.1417,0.0023108943
2019-12-01,"ND",24.34,2.23377,0.00543699618
2019-12-01,"OH",6.49,1.10549,0.00071746301
2019-12-01,"OK",5.67,3.64786,0.00206833662
2019-12-01,"OR",20.03,2.62113,0.00525012339
2019-12-01,"PA",4.83,1.89246,0.00091405818
2019-12-01,"RI",NA,0.884189,NA
2019-12-01,"SC",5.73,4.93698,0.00282888954
2019-12-01,"SD",0,1.69157,0
2019-12-01,"TN",6.52,5.53605,0.0036095046
2019-12-01,"TX",20.58,6.06795,0.0124878411
2019-12-01,"UT",11.33,2.46927,0.00279768291
2019-12-01,"VT",6.29,1.31819,0.00082914151
2019-12-01,"VA",6.14,3.53075,0.0021678805
2019-12-01,"WA",12.65,4.35343,0.00550708895
2019-12-01,"WV",0.76,1.25597,9.545372e-05
2019-12-01,"WI",7.21,2.05403,0.00148095563
2019-12-01,"WY",NA,1.45289,NA
2019-12-08,"AL",12.39,5.58684,0.00692209476
2019-12-08,"AK",27.27,3.09021,0.00842700267
2019-12-08,"AZ",9.86,2.97857,0.00293687002
2019-12-08,"AR",11.72,4.79982,0.00562538904
