"date","state","unweighted_ili","state_pos","region_pos","hybrid_pos","region.x","ILIp","flu_av7","flu_per_cap_av7","mask_av7","rr_av7","gp_av7","park_av7","transit_av7","work_av7","resid_av7","school_av7","elderly_av7","mask_policy_av7"
2019-10-06,"SC",2.01056,0.45,2.80567,0.45,4,9.04752e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"SD",0.596352,0,1.30321,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"TN",1.62558,5.56,2.80567,5.56,4,0.00090382248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"TX",2.54297,3.1,2.75398,3.1,6,0.0007883207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"UT",1.39894,1.07,1.30321,1.07,8,0.00014968658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"VT",0.65842,0,0.838926,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"VA",1.76111,0,0.512383,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"WA",1.20809,1.12,0.974478,1.12,10,0.00013530608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"WV",0.986125,0.3,0.512383,0.3,3,2.958375e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"WI",1.40262,0.5,0.461277,0.5,5,7.0131e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-06,"WY",0.878697,NA,1.30321,1.30321,8,0.000114512671737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"AL",2.20263,1.14,2.05011,1.14,4,0.00025109982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"AK",1.51976,NA,1.57094,1.57094,10,0.00023874517744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"AZ",1.30135,2.01,2.44866,2.01,9,0.00026157135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"AR",2.03568,0.92,3.63036,0.92,6,0.00018728256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"CA",1.63204,2.06,2.44866,2.06,9,0.00033620024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"CO",2.5526,2.08,1.72543,2.08,8,0.0005309408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"CT",1.79399,0.63,0.42735,0.63,1,0.00011302137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"DE",0,3.32,0.791937,3.32,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"FL",NA,NA,2.05011,2.05011,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"GA",2.50838,2.45,2.05011,2.45,4,0.0006145531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"HI",2.25146,5.56,2.44866,5.56,9,0.00125181176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"ID",0.448654,7.14,1.57094,7.14,10,0.000320338956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"IL",1.744,0,0.499546,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"IN",0.853706,0,0.499546,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"IA",0.842804,0,0,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"KS",1.28422,0,0,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"KY",1.41443,0.43,2.05011,0.43,4,6.082049e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"LA",4.82243,7.25,3.63036,7.25,6,0.00349626175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"ME",0.935829,0,0.42735,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"MD",1.34313,1.1,0.791937,1.1,3,0.0001477443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"MA",1.05407,0.37,0.42735,0.37,1,3.900059e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"MI",0.947571,0.56,0.499546,0.56,5,5.3063976e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"MN",2.21124,0.8,0.499546,0.8,5,0.0001768992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"MS",2.07059,5.36,2.05011,5.36,4,0.00110983624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"MO",0.56164,0,0,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"MT",0.682563,0.92,1.72543,0.92,8,6.2795796e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"NE",2.30471,0,0,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"NV",1.22039,NA,2.44866,2.44866,9,0.00029883201774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"NH",0.416281,NA,0.42735,0.42735,1,1.7789768535e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"NJ",2.56547,NA,0.535019,0.535019,2,0.000137257519393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"NM",1.40313,0,3.63036,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"NY",1.09797,0.38,0.535019,0.38,2,4.172286e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"NC",1.19933,0.9,2.05011,0.9,4,0.0001079397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"ND",1.2691,3.09,1.72543,3.09,8,0.0003921519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"OH",0.712468,0.47,0.499546,0.47,5,3.3485996e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"OK",1.9705,0,3.63036,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"OR",1.19141,1.01,1.57094,1.01,10,0.00012033241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"PA",1.20891,0,0.791937,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"RI",0.298174,NA,0.42735,0.42735,1,1.274246589e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"SC",2.34589,0.44,2.05011,0.44,4,0.00010321916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"SD",0.694369,0,1.72543,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"TN",1.69618,0,2.05011,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"TX",2.55285,3.76,3.63036,3.76,6,0.0009598716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"UT",1.72846,1.28,1.72543,1.28,8,0.00022124288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"VT",1.03608,0,0.42735,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"VA",1.97288,0.35,0.791937,0.35,3,6.90508e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"WA",1.32254,1.75,1.57094,1.75,10,0.0002314445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"WV",0.980278,0.24,0.791937,0.24,3,2.3526672e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"WI",1.48287,0.56,0.499546,0.56,5,8.304072e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-13,"WY",1.02179,NA,1.72543,1.72543,8,0.00017630271197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"AL",2.35066,3.02,3.24507,3.02,4,0.00070989932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"AK",1.42744,NA,1.55466,1.55466,10,0.00022191838704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"AZ",1.3922,2.26,2.98965,2.26,9,0.0003146372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"AR",1.7754,2.46,5.87209,2.46,6,0.0004367484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"CA",1.73687,2.9,2.98965,2.9,9,0.0005036923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"CO",2.65636,1.48,2.01493,1.48,8,0.00039314128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"CT",1.76784,0.89,0.912548,0.89,1,0.00015733776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"DE",0.0747943,2.84,0.866667,2.84,3,2.12415812e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"FL",NA,NA,3.24507,3.24507,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"GA",2.99099,4.39,3.24507,4.39,4,0.00131304461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"HI",2.11364,3.47,2.98965,3.47,9,0.00073343308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"ID",0.780312,15.49,1.55466,15.49,10,0.001208703288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"IL",1.90258,0.9,0.776583,0.9,5,0.0001712322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"IN",1.1562,0.89,0.776583,0.89,5,0.0001029018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
