date,state,elderly_mode,school_mode,masking_mode,unweighted_ili,flu_av7,flu_per_cap_av7,mask_av7,rr_av7,gp_av7,park_av7,transit_av7,work_av7,resid_av7
2019-11-03,UT,,,,2.24445,,,,,,,,,
2019-11-03,VT,,,,1.18386,,,,,,,,,
2019-11-03,VA,,,,2.20508,,,,,,,,,
2019-11-03,WA,,,,1.38184,,,,,,,,,
2019-11-03,WV,,,,1.4195799999999998,,,,,,,,,
2019-11-03,WI,,,,1.70525,,,,,,,,,
2019-11-03,WY,,,,1.0495,,,,,,,,,
2019-11-10,AL,,,,3.65487,,,,,,,,,
2019-11-10,AK,,,,2.78923,,,,,,,,,
2019-11-10,AZ,,,,2.86685,,,,,,,,,
2019-11-10,AR,,,,3.72257,,,,,,,,,
2019-11-10,CA,,,,2.44212,,,,,,,,,
2019-11-10,CO,,,,2.98331,,,,,,,,,
2019-11-10,CT,,,,2.02981,,,,,,,,,
2019-11-10,DE,,,,0.0795545,,,,,,,,,
2019-11-10,FL,,,,,,,,,,,,,
2019-11-10,GA,,,,4.48816,,,,,,,,,
2019-11-10,HI,,,,2.25564,,,,,,,,,
2019-11-10,ID,,,,0.352319,,,,,,,,,
2019-11-10,IL,,,,2.00902,,,,,,,,,
2019-11-10,IN,,,,1.80357,,,,,,,,,
2019-11-10,IA,,,,1.10834,,,,,,,,,
2019-11-10,KS,,,,1.77803,,,,,,,,,
2019-11-10,KY,,,,2.51122,,,,,,,,,
2019-11-10,LA,,,,10.0855,,,,,,,,,
2019-11-10,ME,,,,1.10982,,,,,,,,,
2019-11-10,MD,,,,2.16577,,,,,,,,,
2019-11-10,MA,,,,1.46429,,,,,,,,,
2019-11-10,MI,,,,1.04618,,,,,,,,,
2019-11-10,MN,,,,2.43498,,,,,,,,,
2019-11-10,MS,,,,5.02775,,,,,,,,,
2019-11-10,MO,,,,1.57008,,,,,,,,,
2019-11-10,MT,,,,1.1386,,,,,,,,,
2019-11-10,NE,,,,2.6882200000000003,,,,,,,,,
2019-11-10,NV,,,,3.33819,,,,,,,,,
2019-11-10,NH,,,,0.418799,,,,,,,,,
2019-11-10,NJ,,,,3.17628,,,,,,,,,
2019-11-10,NM,,,,2.52861,,,,,,,,,
2019-11-10,NY,,,,1.37191,,,,,,,,,
2019-11-10,NC,,,,1.56202,,,,,,,,,
2019-11-10,ND,,,,1.92653,,,,,,,,,
2019-11-10,OH,,,,0.932317,,,,,,,,,
2019-11-10,OK,,,,2.93991,,,,,,,,,
2019-11-10,OR,,,,1.06238,,,,,,,,,
2019-11-10,PA,,,,1.47832,,,,,,,,,
2019-11-10,RI,,,,0.459629,,,,,,,,,
2019-11-10,SC,,,,3.94737,,,,,,,,,
2019-11-10,SD,,,,1.17585,,,,,,,,,
2019-11-10,TN,,,,2.96013,,,,,,,,,
2019-11-10,TX,,,,4.78979,,,,,,,,,
2019-11-10,UT,,,,2.2681,,,,,,,,,
2019-11-10,VT,,,,1.12664,,,,,,,,,
2019-11-10,VA,,,,2.55936,,,,,,,,,
2019-11-10,WA,,,,1.78561,,,,,,,,,
2019-11-10,WV,,,,1.3422,,,,,,,,,
2019-11-10,WI,,,,1.40298,,,,,,,,,
2019-11-10,WY,,,,1.14674,,,,,,,,,
2019-11-17,AL,,,,4.66176,,,,,,,,,
2019-11-17,AK,,,,2.01203,,,,,,,,,
2019-11-17,AZ,,,,2.71652,,,,,,,,,
2019-11-17,AR,,,,3.12874,,,,,,,,,
2019-11-17,CA,,,,2.39551,,,,,,,,,
2019-11-17,CO,,,,3.22949,,,,,,,,,
2019-11-17,CT,,,,2.4525200000000003,,,,,,,,,
2019-11-17,DE,,,,0.142959,,,,,,,,,
2019-11-17,FL,,,,,,,,,,,,,
2019-11-17,GA,,,,5.21978,,,,,,,,,
2019-11-17,HI,,,,2.74198,,,,,,,,,
2019-11-17,ID,,,,1.20482,,,,,,,,,
2019-11-17,IL,,,,2.11537,,,,,,,,,
2019-11-17,IN,,,,1.41648,,,,,,,,,
2019-11-17,IA,,,,0.918422,,,,,,,,,
2019-11-17,KS,,,,1.42391,,,,,,,,,
2019-11-17,KY,,,,2.77164,,,,,,,,,
2019-11-17,LA,,,,11.6895,,,,,,,,,
2019-11-17,ME,,,,1.22556,,,,,,,,,
2019-11-17,MD,,,,2.19271,,,,,,,,,
2019-11-17,MA,,,,1.4374,,,,,,,,,
2019-11-17,MI,,,,1.23582,,,,,,,,,
2019-11-17,MN,,,,2.72668,,,,,,,,,
2019-11-17,MS,,,,6.063,,,,,,,,,
2019-11-17,MO,,,,1.23077,,,,,,,,,
2019-11-17,MT,,,,1.18399,,,,,,,,,
2019-11-17,NE,,,,3.49316,,,,,,,,,
2019-11-17,NV,,,,3.00172,,,,,,,,,
2019-11-17,NH,,,,0.613228,,,,,,,,,
2019-11-17,NJ,,,,2.93343,,,,,,,,,
2019-11-17,NM,,,,3.12916,,,,,,,,,
2019-11-17,NY,,,,1.44615,,,,,,,,,
2019-11-17,NC,,,,1.67733,,,,,,,,,
2019-11-17,ND,,,,1.89717,,,,,,,,,
2019-11-17,OH,,,,1.0583,,,,,,,,,
2019-11-17,OK,,,,2.95654,,,,,,,,,
2019-11-17,OR,,,,1.8385,,,,,,,,,
2019-11-17,PA,,,,1.6982,,,,,,,,,
2019-11-17,RI,,,,0.494382,,,,,,,,,
2019-11-17,SC,,,,3.97771,,,,,,,,,
2019-11-17,SD,,,,1.65146,,,,,,,,,
2019-11-17,TN,,,,3.82892,,,,,,,,,
2019-11-17,TX,,,,6.499619999999998,,,,,,,,,
2019-11-17,UT,,,,2.50505,,,,,,,,,
2019-11-17,VT,,,,0.8722110000000001,,,,,,,,,
2019-11-17,VA,,,,2.88598,,,,,,,,,
2019-11-17,WA,,,,2.69907,,,,,,,,,
2019-11-17,WV,,,,1.24365,,,,,,,,,
2019-11-17,WI,,,,1.57279,,,,,,,,,
2019-11-17,WY,,,,1.18539,,,,,,,,,
2019-11-24,AL,,,,4.70394,,,,,,,,,
2019-11-24,AK,,,,2.24646,,,,,,,,,
2019-11-24,AZ,,,,2.8612900000000003,,,,,,,,,
2019-11-24,AR,,,,3.65809,,,,,,,,,
2019-11-24,CA,,,,2.74306,,,,,,,,,
2019-11-24,CO,,,,3.70322,,,,,,,,,
2019-11-24,CT,,,,2.6196900000000003,,,,,,,,,
2019-11-24,DE,,,,0.614125,,,,,,,,,
2019-11-24,FL,,,,,,,,,,,,,
2019-11-24,GA,,,,5.705419999999998,,,,,,,,,
2019-11-24,HI,,,,3.649,,,,,,,,,
2019-11-24,ID,,,,1.17532,,,,,,,,,
2019-11-24,IL,,,,2.5548900000000003,,,,,,,,,
2019-11-24,IN,,,,2.14118,,,,,,,,,
2019-11-24,IA,,,,1.51327,,,,,,,,,
2019-11-24,KS,,,,1.81893,,,,,,,,,
2019-11-24,KY,,,,3.04802,,,,,,,,,
2019-11-24,LA,,,,10.7286,,,,,,,,,
2019-11-24,ME,,,,1.19228,,,,,,,,,
2019-11-24,MD,,,,2.8248,,,,,,,,,
2019-11-24,MA,,,,1.91389,,,,,,,,,
2019-11-24,MI,,,,1.21021,,,,,,,,,
2019-11-24,MN,,,,4.05946,,,,,,,,,
2019-11-24,MS,,,,7.3034,,,,,,,,,
2019-11-24,MO,,,,0.695652,,,,,,,,,
2019-11-24,MT,,,,1.42826,,,,,,,,,
2019-11-24,NE,,,,5.18686,,,,,,,,,
2019-11-24,NV,,,,3.63079,,,,,,,,,
2019-11-24,NH,,,,0.677966,,,,,,,,,
2019-11-24,NJ,,,,3.9026,,,,,,,,,
2019-11-24,NM,,,,3.35036,,,,,,,,,
2019-11-24,NY,,,,1.97264,,,,,,,,,
2019-11-24,NC,,,,1.85556,,,,,,,,,
2019-11-24,ND,,,,2.97824,,,,,,,,,
2019-11-24,OH,,,,1.0144,,,,,,,,,
2019-11-24,OK,,,,3.80488,,,,,,,,,
2019-11-24,OR,,,,2.07423,,,,,,,,,
2019-11-24,PA,,,,1.7945,,,,,,,,,
